City,Year,Unemployment_Rate_%,MSME_Registered_Units,Average_AQI,Road_Density_km_per_1000sqkm,Internet_Penetration_%,Electricity_Access_%,Hospitals_per_100k,Beds_per_1000,Literacy_Rate_%,Student_Teacher_Ratio,Higher_Education_Institutions,Toilet_Access_%,PMAY_Average_Housing_Cost_Lakhs,Crime_Rate_per_100k,IPC_Crime_Cases,Population_Density_per_sqkm,Population_Growth_%,Net_Migration_Rate_%,Livability_Score_0_100,Infrastructure_Index,Healthcare_Index,Education_Index,Economic_Index,Safety_Index,Environmental_Index,Affordability_Index,Population_Pressure,Urbanization_Score,Development_Years,City_Encoded,Education_Economic_Interaction,Health_Safety_Interaction,Environment_Infrastructure_Interaction,Year_Normalized,Is_Recent
Mumbai,2005,5.68,285460,232,3913.0,49.0,78.9,1.88,3.57,86.2,37.1,13,98.8,21.65,288.0,37183,6318,1.72,3.65,65.3,72.81556484308524,56.40444862155388,56.500920191156226,67.0397093433896,63.97748592870545,22.408026755852838,13.365346138455381,28.02286281186202,72.85000000000001,0,16,37.87805267249166,36.08614818001853,16.316531252463914,0.0,0
Mumbai,2006,4.98,185496,84,2319.2,61.2,86.4,6.6,1.44,83.9,34.0,18,84.3,8.41,192.3,189828,29003,3.73,2.33,49.59,66.62818859802793,59.35338345864661,57.00427907913734,57.530489953290534,75.94746716697935,71.90635451505017,66.34653861544618,91.52883918096737,77.84,1,16,32.794841048568806,45.07739141474699,47.9099015002542,0.05263157894736842,0
Mumbai,2007,8.32,134844,80,3374.9,42.0,97.7,3.18,2.92,78.4,32.0,113,67.4,24.39,653.8,187960,26949,2.89,6.03,49.16,68.08223684869112,56.42481203007519,64.14288636948663,32.52257347274794,18.223889931207005,73.24414715719062,2.4009603841536498,79.91676143343918,73.27,2,16,20.860917347057516,10.28279563825135,49.86625374536239,0.10526315789473684,0
Mumbai,2008,4.17,18342,131,2821.1,55.7,95.7,3.82,1.7,84.7,21.8,162,63.0,24.74,652.0,40544,1160,3.76,4.74,79.26,66.5703263426598,45.184837092731826,77.3909393291625,39.65978313262365,18.449030644152597,56.18729096989967,1.00040016006403,35.82839564934147,79.30000000000001,3,16,30.693078702246194,8.336164441748524,37.40406296176203,0.15789473684210525,0
Mumbai,2009,9.06,26843,139,1402.5,90.1,90.6,3.65,1.0,78.4,26.8,148,85.5,22.74,456.9,24799,21684,3.54,3.87,81.24,69.31987086440763,35.36967418546366,69.97673266107822,14.072433487212912,42.851782363977485,53.51170568561873,9.003601440576237,75.12413819192834,85.57,4,16,9.847429160255025,15.156535804802813,37.09424527861278,0.21052631578947367,0
Mumbai,2010,6.7,159206,156,932.2,46.3,75.8,5.64,1.81,83.7,42.5,57,76.4,20.11,298.7,16319,9402,1.14,6.08,82.98,51.94589919415387,57.963345864661655,57.017685532338746,44.62471818522869,62.63914946841776,47.82608695652174,19.52781112444978,29.055027603301873,70.11,5,16,25.443981484546075,36.30774685306136,24.843690918943157,0.2631578947368421,0
Mumbai,2011,7.88,262080,250,1770.2,91.8,88.5,6.75,3.67,78.6,21.0,53,77.1,21.36,709.5,2383,15811,2.17,1.83,50.63,69.1903033184844,88.16823308270676,63.13251289856855,51.899156256337584,11.257035647279546,16.387959866220736,14.525810324129651,51.113817797539376,85.53,6,16,32.765241517780574,9.925129427696818,11.338879139149617,0.3157894736842105,0
Mumbai,2012,5.37,283158,130,3497.7,80.8,84.1,7.82,3.88,76.8,31.4,67,71.4,5.74,546.2,101033,2492,1.61,5.95,56.26,73.17688222633765,97.49749373433583,58.82703137066178,68.42663099498803,31.682301438398998,56.52173913043479,77.03081232492997,19.352197448762336,80.19,7,16,40.253355681308584,30.889449859796454,41.36084647575607,0.3684210526315789,0
Mumbai,2013,3.73,149388,296,2058.7,79.0,94.0,3.04,3.13,79.9,35.1,130,81.4,6.81,692.9,64835,6409,0.66,4.05,76.85,70.5843195355123,58.172619047619044,65.37058275788743,59.54458783978658,13.333333333333341,1.0033444816053505,72.74909963985594,18.76257638577425,83.86,8,16,38.92464407165066,7.756349206349211,0.70820387493825,0.42105263157894735,0
Mumbai,2014,2.64,156067,106,4154.9,50.1,92.3,4.01,3.8,73.7,27.2,31,97.0,22.55,317.7,132336,24699,2.72,3.68,56.37,77.9063361529606,72.62531328320802,55.219764971852584,66.39179436222669,60.262664165103196,64.54849498327759,9.763905562224885,73.8795202370118,72.2,9,16,36.66139280741725,43.76594864271373,50.28736748334915,0.47368421052631576,0
